"access","der Zugang"
"to drop","fallen lassen, senken"
"to encourage","ermutigen, ermuntern"
"to hurt","wehtun, verletzen"
"to involve","verwickeln, mit sich bringen"
"to manage","zurechtkommen, führen, leiten"
"to observe","bemerken, beobachten, einhalten"
"to provide","versorgen mit"
"to recycle","wieder verwerten"
"to reveal","enthüllen"
"to slip","ausrutschen"
"to spread","ausbreiten, sich ausbreiten"
"to suffer","leiden, erleiden"
"to worry","sich Sorgen machen"
"
  useful","nützlich"
"analysis","die Analyse"
"award","der Preis"
"
  common","gemeinsam, gewöhnlich"
"content","der Inhalt"
"duty","die Pflicht, der Zoll"
"engine","der Motor, die Lokomotive"
"former","ehemalig, früher"
"
  honest","ehrlich"
"income","das Einkommen"
"issue","die Angelegenheit"
"
  lonely","einsam"
"particular","bestimmt"
"poem","das Gedicht"
"profit","der Gewinn"
"
  silent","still, schweigsam"
"society","die Gesellschaft"
"steam","der Dampf"
"
  suitable","geeignet, passend"
"throughout","überall, die ganze Zeit"
"to assume","annehmen"
"to charge","laden, anklagen"
"to create","erschaffen"
"to determine","bestimmen"
"to mind","etwas dagegen haben"
"to obtain","erhalten, bekommen"
"to publish","veröffentlichen, bekannt geben"
"to refuse","sich weigern"
"to rush","eilen"
"value","der Wert"
"a bit of","ein bisschen von, etwas von"
"away","weg, entfernt"
"bike","das Fahrrad"
"camera","die Kamera"
"city","die Stadt, die Großstadt"
"country","das Land"
"dinner","das Abendessen"
"
  fast","schnell"
"energy","die Energie"
"front","die Vorderseite"
"gun","das Gewehr"
"
  hungry","hungrig"
"male","männlich"
"model","das Modell"
"nobody","niemand"
"plural","die Mehrzahl"
"
  responsible","verantwortlich"
"
  rich","reich"
"shall","sollen, werden"
"singular","Die Einzahl"
"something","etwas"
"suitcase","der Koffer"
"
  to allow","erlauben, gestatten"
"
  to choose","wählen, auswählen, aussuchen"
"
  to feel","fühlen, sich fühlen"
"
  to know","wissen, kennen"
"
  to save","retten, sparen, speichern"
"
  to teach","lehren, unterrichten"
"trade","der Handel"
"
  wealthy","reich, wohlhabend"
"a couple of","ein paar"
"always","immer"
"
  awful","furchtbar"
"bill","die Rechnung"
"can","können, dürfen"
"class","die Klasse"
"course","der Kurs"
"direction","die Richtung"
"enough","genug"
"
  fat","fett"
"fruit","die Frucht, das Obst"
"hair","das Haar"
"husband","der Ehemann"
"land","das Land"
"language","die Sprache"
"man","der Mann"
"
  modern","modern"
"noon","der Mittag"
"police","die Polizei"
"
  sharp","scharf"
"sometimes","manchmal"
"sure","sicher"
"
  to answer","antworten, beantworten"
"
  to clean","reinigen"
"
  to fight","kämpfen"
"
  to land","landen"
"
  to see","sehen"
"
  to tell","erzählen"
"traffic","der Verkehr"
"weather","das Wetter"
"
  a lot of","viel, viele"
"back","zurück, der Rücken"
"bird","der Vogel"
"captain","der Kapitän, der Hauptmann"
"
  clean","sauber"
"cow","die Kuh"
"
  dirty","schmutzig"
"evening","der Abend"
"father","der Vater"
"
  full","voll"
"half","halb, die Hälfte"
"ice","das Eis"
"last","letzter"
"
  many","viele"
"moment","der Moment"
"
  much","viel"
"
  normal","normal, gewöhnlich, üblich"
"
  poor","arm, schlecht"
"rock","der Fels"
"sheet","das Blatt, das Bettuch"
"son","der Sohn"
"
  sweet","süß, das Bonbon"
"to arrive","ankommen"
"to climb","besteigen, klettern"
"to fill","füllen"
"to laugh","lachen"
"to seem","scheinen"
"to think","denken"
"traffic lights","die Ampel"
"well","gut"
"a little","ein wenig, ein bisschen"
"
  angry","böse, zornig, ärgerlich"
"
  bad","schlecht"
"blood","das Blut"
"car","das Auto"
"
  clear","klar, deutlich"
"
  crazy","verrückt"
"disease","die Krankheit"
"every","jeder"
"favourite","Lieblings-"
"fun","der Spaß"
"hand","die Hand"
"idea","die Idee"
"
  late","spät"
"map","die Landkarte, der Stadtplan"
"money","das Geld"
"nose","die Nase"
"population","die Bevölkerung"
"roof","das Dach"
"shoe","der Schuh"
"soon","bald"
"tall","groß, hoch"
"to ask","fragen, bitten"
"to close","schließen"
"to find","finden"
"to learn","lernen"
"to sell","verkaufen"
"to throw","werfen"
"train","der Zug"
"well-known","bekannt"
"
  able","fähig, in der Lage"
"animal","das Tier"
"bag","die Tasche, die Tüte, der Beutel"
"boat","das Boot, das Schiff"
"card","die Karte"
"clock","die Uhr"
"cross","das Kreuz"
"doctor","der Doktor, der Arzt"
"everybody","jeder, alle"
"feeling","das Gefühl"
"
  funny","komisch, spaßig"
"
  happy","glücklich"
"ill","krank"
"later","später"
"grade","die Note"
"moon","der Mond"
"nothing","nichts"
"possible","möglich"
"root","die Wurzel"
"shop","der Laden, das Geschäft"
"spare time","die Freizeit"
"tax","die Steuer"
"
  to be able to","können"
"
  to come","kommen"
"
  to finish","beenden, aufhören"
"
  to leave","verlassen, lassen"
"
  to send","schicken, absenden"
"
  to touch","berühren"
"
  to translate","übersetzen"
"what","was"
"abroad","im, ins Ausland"
"another","noch einer, ein anderer"
"ball","der Ball"
"body","der Körper"
"cash","das Bargeld"
"clothes","die Kleider, die Kleidung"
"cry","der Schrei"
"dog","der Hund"
"everyone","jeder, alle"
"female","weiblich"
"future","die Zukunft"
"
  hard","hart, schwer"
"
  important","wichtig"
"
  lazy","faul"
"market","der Markt"
"more","mehr"
"object","der Gegenstand, das Objekt"
"potato","die Kartoffel"
"rope","das Seil"
"
  short","kurz"
"speech","die Rede"
"team","das Team, die Mannschaft"
"
  to be born","geboren werden"
"
  to continue","fortsetzen, weitergehen"
"
  to fish","fischen, angeln"
"
  to like","mögen, gern haben"
"
  to shoot","schießen, erschießen"
"
  to train","trainieren, ausbilden"
"tree","der Baum"
"wheel","das Rad"
"accident","der Zufall, der Unfall"
"answer","die Antwort, die Lösung"
"band","die Band, die Gruppe"
"book","das Buch"
"cassette","die Kassette"
"club","der Klub, der Knüppel"
"culture","die Kultur"
"door","die Tür"
"everything","alles"
"field","das Feld, das Gebiet"
"game","das Spiel"
"head","der Kopf"
"
  impossible","unmöglich"
"leg","das Bein"
"married","verheiratet"
"morning","der Morgen"
"ocean","der Ozean"
"pound","das Pfund"
"rose","die Rose"
"should","sollte"
"speed","die Geschwindigkeit"
"technique","die Technik"
"to be right","Recht haben"
"to control","kontrollieren"
"to fly","fliegen"
"to live","leben, wohnen"
"to shout","rufen, schreien"
"to travel","reisen"
"trouble","die Schwierigkeiten, der Ärger"
"where","wo"
"action","die Tat, die Handlung"
"any","etwas, irgendein"
"bank","die Bank"
"boot","der Stiefel, der Kofferraum"
"catalogue","der Katalog"
"coat","der Mantel"
"cup","die Tasse, der Pokal"
"double","doppelt"
"everywhere","überall"
"film","der Film"
"garden","der Garten"
"heart","das Herz"
"information","die Information, die Auskunft"
"length","die Länge"
"material","das Material"
"most","die meisten, am meisten"
"of course","natürlich"
"president","der Präsident"
"round","rund"
"shoulder","die Schulter"
"stairs","die Treppe"
"
  terrible","schrecklich"
"to beat","schlagen"
"to cook","kochen"
"to follow","folgen"
"to look","schauen, aussehen"
"to show","zeigen"
"to try","versuchen"
"true","wahr, richtig"
"who","wer"
"actually","tatsächlich"
"anybody","jeder, jemand, irgendjemand"
"bar","die Stange, die Bar"
"
  boring","langweilig"
"
  central","zentral"
"coffee","das Kaffee"
"cupboard","der Schrank"
"down","unten, herunter, hinunter"
"example","das Beispiel"
"fine","fein, gut, die Geldstrafe"
"gas","das Gas"
"heavy","schwer"
"inside","innen, nach innen, innerhalb"
"less","weniger"
"may","können, dürfen"
"mother","die Mutter"
"off","aus"
"pressure","der Druck"
"royal","königlich"
"
  sick","krank, übel (Magen)"
"standard","der Standard"
"test","die Probe, der Test"
"
  to become","werden"
"
  to copy","kopieren"
"
  to forbid","verbieten"
"
  to love","lieben, gerne mögen"
"
  to sing","singen"
"
  to turn","drehen"
"
  unhappy","unglücklich"
"whole","ganz"
"address","die Adresse"
"anything","irgendetwas"
"bath","das Bad, die Badewanne"
"boss","der Chef"
"centre","das Zentrum, der Mittelpunkt"
"cold","kalt, die Erkältung"
"daily","täglich"
"dream","der Traum"
"excellent","ausgezeichnet"
"finger","der Finger"
"girl","das Mädchen"
"
  helpful","hilfreich, nützlich"
"instrument","das Instrument"
"letter","der Buchstabe, der Brief"
"maybe","vielleicht"
"motorbike","das Motorrad"
"office","das Büro"
"
  pretty","hübsch"
"rubbish","der Abfall"
"
  silly","dumm, albern"
"star","der Stern, der Star"
"that","dass, jener"
"
  to begin","anfangen, beginnen"
"
  to correct","berichtigen"
"
  to forget","vergessen"
"
  to make","machen"
"
  to smoke","rauchen"
"
  to understand","verstehen"
"unit","die Einheit"
"
  wild","wild"
"adult","der Erwachsene"
"anyway","jedenfalls"
"battery","die Batterie"
"both","beide"
"chair","der Stuhl"
"colour","die Farbe"
"danger","die Gefahr"
"dress","das Kleid"
"excuse","die Entschuldigung"
"fire","das Feuer"
"girlfriend","die Freundin"
"here","hier"
"interest","das Interesse"
"life","das Leben"
"meal","die Mahlzeit"
"mountain","der Berg"
"once","einmal"
"public","die Öffentlichkeit, öffentlich"
"rule","die Regel, die Vorschrift"
"silver","das Silber"
"station","der Bahnhof"
"the best","der beste"
"to blow","blasen"
"to cost","kosten"
"to get","holen, bekommen"
"to mean","bedeuten"
"to smile","lächeln"
"to use","gebrauchen, benutzen"
"use","der Gebrauch"
"wind","der Wind"
"advantage","der Vorteil"
"anger","der Ärger"
"apple","der Apfel"
"beach","der Strand"
"bottle","die Flasche"
"chapter","das Kapitel"
"complete","vollständig"
"
  dangerous","gefährlich"
"drink","das Getränk"
"exercise","die Übung"
"first","erster, zuerst"
"glass","das Glas"
"
  high","hoch"
"
  interesting","interessant"
"light","das Licht, hell, leicht"
"meaning","die Bedeutung, der Sinn"
"operation","die Operation"
"public transport","die öffentlichen Verkehrsmittel"
"
  sad","traurig"
"simple","einfach"
"still","immer noch"
"the same","der selbe"
"to book","buchen, vorbestellen"
"to cross","überqueren, kreuzen"
"to give","geben"
"to meet","treffen"
"to smell","riechen"
"to view","betrachten"
"user","der Benutzer"
"window","das Fenster"
"afternoon","der Nachmittag"
"area","die Fläche, das Gebiet"
"box","die Schachtel, der Kasten"
"character","der Charakter, das Wesen"
"computer","der Computer"
"
  dark","dunkel"
"driver","der Fahrer"
"
  expensive","teuer"
"fish","der Fisch"
"glasses","die Brille"
"hill","der Hügel"
"island","der Insel"
"line","die Linie, die Zeile"
"meat","das Fleisch"
"music","die Musik"
"opposite","das Gegenteil"
"people","das Volk, die Leute"
"pupil","der Schüler"
"
  safe","sicher"
"sister","die Schwester"
"stone","der Stein"
"the worst","der schlechteste"
"
  to borrow","borgen"
"
  to cry","schreien, weinen"
"
  to go","gehen, fahren"
"
  to mix","mischen, vermischen"
"to snow","schneien"
"
  to visit","besuchen"
"valley","das Tal"
"wood","das Holz"
"again","wieder"
"arm","der Arm"
"
  beautiful","schön"
"boy","der Junge"
"
  cheap","billig"
"conference","die Konferenz"
"date","das Datum, die Verabredung"
"drug","die Arznei, das Rauschgift"
"experiment","das Experiment, der Versuch"
"flower","die Blume"
"God","der Gott"
"holiday","der Feiertag, die Ferien, der Urlaub"
"job","die Arbeit, die Arbeitsstelle"
"litre","der Liter"
"melody","die Melodie"
"must","müssen"
"other","anderer"
"quality","die Qualität"
"sand","der Sand"
"size","die Größe"
"store","das Kaufhaus, das Warenhaus, das Lager"
"
  thick","dick"
"
  to break","brechen, zerbrechen"
"
  to cut","schneiden"
"to happen","passieren, geschehen"
"
  to need","brauchen"
"
  to sound","klingen"
"
  to wait","warten"
"vegetable","das Gemüse"
"worse","schlechter"
"age","das Alter"
"army","die Armee"
"bedroom","das Schlafzimmer"
"boyfriend","der Freund"
"cheese","der Käse"
"congratulations","die Glückwünsche"
"daughter","die Tochter"
"dry","trocken"
"eye","das Auge"
"food","das Essen, das Lebensmittel"
"
  good","gut"
"home","das Zuhause, das Haus"
"joke","der Witz"
"little","klein, wenig"
"member","das Mitglied"
"name","der Name"
"out","heraus, hinaus, draußen"
"queen","die Königin"
"scientist","der Wissenschaftler"
"skin","die Haut"
"storm","der Sturm"
"
  thin","dünn"
"to bring","bringen"
"to dance","tanzen"
"to hate","hassen"
"to paint","anstreichen, malen"
"to speak","sprechen"
"to walk","gehen, wandern"
"verb","das Verb"
"
  young","jung"
"air","die Luft"
"around","um ... herum, ungefähr"
"beef","das Rindfleisch"
"breakfast","das Frühstück"
"chicken","das Huhn, das Hähnchen"
"consonant","der Konsonant"
"dead","tot"
"duck","die Ente"
"face","das Gesicht"
"foot","der Fuß"
"good luck","Viel Glück"
"horror","der Schrecken"
"juice","der Saft"
"
  long","lang"
"memory","das Gedächtnis, der Speicher, die Erinnerung"
"nation","die Nation"
"outside","draußen, außerhalb"
"question","die Frage"
"score","die Punktzahl"
"sky","der Himmel"
"story","die Geschichte, die Erzählung"
"thing","das Ding, die Sache"
"to build","bauen"
"to die","sterben"
"to hear","hören"
"to practise","üben, ausüben"
"to spell","buchstabieren"
"to wonder","sich fragen, sich wundern"
"version","die Version"
"airport","der Flughafen"
"article","der Artikel, der Gegenstand"
"beer","das Bier"
"bridge","die Brücke"
"child","das Kind"
"continent","der Kontinent"
"
  dear","lieb"
"ear","das Ohr"
"
  false","falsch"
"for example","zum Beispiel"
"grandchild","der Enkel"
"horse","das Pferd"
"just","gerecht, gerade, genau"
"lorry","der Lastwagen"
"metal","das Metall"
"
  natural","natürlich"
"over","über, hinüber, vorbei"
"
  quick","schnell"
"screen","der Bildschirm"
"
  slow","langsam"
"street","die Straße"
"this","dieser"
"to burn","brennen, verbrennen"
"to do the homework","die Hausaufgaben machen"
"to help","helfen"
"to press","pressen, drücken"
"to spend","(Geld) ausgeben, (Zeit) verbringen"
"today","heute"
"village","das Dorf"
"alive","lebend, lebendig"
"as","als, wie"
"before","vor, vorher, bevor"
"
  broken","kaputt"
"chocolate","die Schokolade"
"cook","der Koch"
"death","der Tod"
"
  early","früh"
"family","die Familie"
"forest","der Wald"
"grandmother","die Großmutter"
"hospital","das Krankenhaus"
"key","der Schlüssel"
"
  loud","laut"
"method","die Methode"
"nature","die Natur"
"parents","die Eltern"
"
  quiet","ruhig"
"sea","das Meer"
"
  small","klein"
"
  strong","stark"
"thought","der Gedanke"
"to buy","kaufen"
"to dream","träumen"
"to hit","schlagen"
"to read","lesen"
"to stay","bleiben"
"together","zusammen"
"visit","der Besuch"
"all","alles, jeder, ganz"
"at first","zuerst"
"bear","der Bär"
"beginning","der Anfang, der Beginn"
"brother","der Bruder"
"Christmas","Weihnachten"
"
  cool","kühl"
"desk","der Schreibtisch"
"earth","die Erde"
"
  famous","berühmt"
"forever","für immer"
"grandparents","die Großeltern"
"
  hot","heiß"
"kind","die Art, freundlich"
"
  low","niedrig"
"middle","die Mitte"
"never","nie, niemals"
"quite","ziemlich"
"seat","der Sitz, der Platz"
"so","so, also"
"student","der Student, der Schüler"
"
  tiny","winzig"
"to call","rufen, nennen, anrufen"
"to drink","trinken"
"to hold","halten"
"to remember","sich erinnern an"
"to steal","stehlen"
"tomorrow","morgen"
"voice","die Stimme"
"all right","in Ordnung"
"at home","zu Hause"
"behaviour","das Benehmen"
"building","das Gebäude"
"church","die Kirche"
"corner","die Ecke"
"dictionary","das Wörterbuch"
"
  easy","einfach, leicht"
"fantastic","fantastisch"
"free","frei, gratis"
"grass","das Gras"
"hotel room","das Hotelzimmer"
"king","der König"
"machine","die Maschine"
"military","militärisch"
"
  new","neu"
"personal","persönlich"
"radio","das Radio"
"security","die Sicherheit"
"
  soft","weich, leise"
"
  stupid","dumm"
"
  tired","müde"
"to carry","tragen"
"to drive","(selbst) fahren"
"to hope","hoffen"
"to repeat","wiederholen"
"to stop","anhalten"
"tooth","der Zahn"
"wall","die Wand, die Mauer"
"almost","fast, beinahe"
"at last","zuletzt, endlich"
"bell","die Glocke, die Klingel"
"bus","der Linienbus"
"cigarette","die Zigarette"
"
  correct","richtig"
"difference","der Unterschied"
"egg","das Ei"
"
  far","weit"
"
  fresh","frisch"
"
  great","groß, prima"
"house","das Haus"
"kitchen","die Küche"
"
  mad","verrückt"
"milk","die Milch"
"next","der nächste"
"phrase","der Satz"
"ready","fertig"
"sentence","der Satz"
"soldier","der Soldat"
"subject","das Schulfach, das Thema, das Subjekt"
"to act","handeln"
"to catch","fangen"
"to eat","essen"
"to hurry","sich beeilen"
"to report","berichten"
"to study","lernen"
"tooth paste","die Zahnpasta"
"war","der Krieg"
"along","entlang"
"at least","wenigstens, mindestens"
"better","besser"
"cable","das Kabel"
"cinema","das Kino"
"cost","die Kosten"
"
  different","verschieden, anders"
"
  empty","leer"
"farm","der Bauernhof"
"friend","der Freund"
"group","die Gruppe"
"how","wie"
"knife","das Messer"
"main road","die Haupstraße"
"minister","der Minister"
"
  nice","nett, schön"
"planet","der Planet"
"region","die Region, der Bereich"
"service","der Dienst, der Service"
"some","einige, ein paar"
"such","solche"
"to add","hinzufügen"
"to change","ändern, sich ändern, (Geld) wechseln"
"to explain","erklären"
"to jump","springen"
"to return","zurückkehren, zurückgeben"
"to talk","sprechen, reden"
"top","die Spitze"
"way","der Weg, die Art und Weise"
"already","schon, bereits"
"at the moment","im Augenblick"
"
  big","groß"
"cake","der Kuchen"
"circle","der Kreis"
"could","konnte, könnte"
"
  difficult","schwierig, schwer"
"end","das Ende"
"farmer","der Bauer"
"friendly","freundlich"
"guest","der Gast"
"hunger","der Hunger"
"lake","der See"
"majority","die Mehrheit"
"mistake","der Fehler"
"night","die Nacht"
"player","der Spieler"
"respect","der Respekt"
"sex","das Geschlecht"
"somebody","jemand"
"suit","der Anzug"
"to agree","zustimmen, sich einigen"
"to check","prüfen, überprüfen"
"to fall","fallen"
"to kill","töten"
"to sail","segeln"
"to taste","schmecken"
"topic","das Thema"
"
  weak","schwach"
"also","auch, außerdem"
"although","obwohl"
"and","und"
"because","weil"
"besides","außerdem"
"but","aber, sondern"
"despite","trotz"
"either ... or","entweder ... oder"
"however","jedoch, aber"
"if","wenn, ob"
"instead of","anstatt"
"like","wie"
"neither ... nor","weder ... noch"
"not yet","noch nicht"
"or","oder"
"such as","wie zum Beispiel"
"than","als"
"therefore","deshalb, daher"
"though","obwohl, trotzdem"
"unless","wenn nicht, es sei denn"
"until","bis"
"when","wann, als"
"whether","ob"
"ability","die Fähigkeit"
"application","die Anwendung, die Bewerbung"
"campaign","die Kampagne, der Feldzug"
"choice","die Auswahl, die Wahl"
"conversation","die Unterhaltung"
"distance","die Entfernung"
"election","die Wahl"
"
  exciting","aufregend, spannend"
"figure","die Figur, die Gestalt"
"for sale","zu verkaufen"
"law","das Gesetz, das Recht"
"
  necessary","notwendig, nötig"
"organisation","die Organisation"
"real","wirklich"
"sense","der Sinn, das Gefühl"
"
  smart","elegant, schick, schlau"
"
  strict","streng"
"
  tidy","ordentlich"
"to believe","glauben, meinen, denken"
"
  to describe","beschreiben"
"to guess","raten, erraten, schätzen"
"to ignore","ignorieren"
"to introduce","vorstellen, einführen"
"to lock","verschließen"
"to mention","erwähnen"
"to prepare","vorbereiten, bereiten"
"to reserve","reservieren"
"usually","üblicherweise, gewöhnlich"
"birth","die Geburt"
"capital","das Kapital, die Hauptstadt"
"classmate","der Klassenkamerad"
"description","die Beschreibung"
"division","die Teilung, die Abteilung"
"else","sonst"
"final","endgültig"
"
  forward","vorwärts"
"guide","der Führer"
"illness","die Krankheit"
"menu","die Speisekarte"
"neck","der Hals"
"original","ursprünglich, original"
"present","das Geschenk, gegenwärtig"
"response","die Antwort"
"separate","getrennt, separat"
"solution","die Lösung"
"string","die Schnur"
"to accept","annehmen, akzeptieren"
"to argue","streiten, sich streiten, argumentieren"
"to count","zählen"
"to expect","erwarten, annehmen"
"to invent","erfinden"
"to lay","legen"
"to lose","verlieren"
"to realize","begreifen, verwirklichen"
"to tie","binden"
"vacation","die Ferien, der Urlaub"
"account","das Konto"
"argument","der Streit, das Argument"
"board","das Brett, der Aufsichtsrat"
"care","die Sorge, die Pflege"
"client","der Kunde"
"couple","das Paar"
"desert","die Wüste"
"document","das Dokument"
"enemy","der Feind"
"experience","die Erfahrung"
"firm","fest, die Firma"
"fuel","der Treibstoff, das Benzin"
"hall","die Halle, der Flur"
"image","das Bild"
"loser","der Verlierer"
"message","die Mitteilung, die Botschaft"
"neighbour","der Nachbar"
"price","der Preis (Einkauf)"
"prize","der Preis (Gewinn)"
"series","die Serie, die Reihe"
"source","die Quelle"
"style","der Stil"
"to invite","einladen"
"to lead","leiten, führen"
"to own","besitzen"
"to rest","sich ausruhen"
"tool","das Werkzeug"
"various","verschieden"
"bone","der Knochen"
"carpet","der Teppich"
"cloud","die Wolke"
"cover","die Decke, der Umschlag"
"expert","der Fachmann"
"furniture","die Möbel"
"hat","der Hut"
"iron","das Eisen"
"leaf","das Blatt"
"magazine","die Zeitschrift"
"might","könnte vielleicht"
"news","die Neuigkeit, die Nachrichten"
"paragraph","der Absatz, der Paragraph"
"probably","wahrscheinlich"
"reason","der Grund"
"result","das Ergebnis"
"
  serious","ernst"
"space","der Raum, der Platz, der Weltraum"
"success","der Erfolg"
"to achieve","zu Stande bringen, erreichen"
"to arrange","etwas ausmachen, arrangieren"
"to cover","decken, bedecken"
"to doubt","zweifeln"
"to enjoy","genießen"
"to fit","passen"
"to improve","verbessern"
"track","die Spur"
"visitor","der Besucher"
"art","die Kunst"
"bottom","der Boden"
"case","der Fall, der Kasten"
"crime","das Verbrechen"
"detail","die Einzelheit"
"doubt","der Zweifel"
"
  fit","gesund, fit"
"gardener","der Gärtner"
"health","die Gesundheit"
"item","der Gegenstand"
"mail","die Post"
"millionaire","der Millionär"
"newspaper","die Zeitung"
"production","die Produktion, die Herstellung"
"stamp","die Briefmarke, der Stempel"
"suddenly","plötzlich"
"to advise","raten, einen Rat geben"
"to collect","sammeln"
"to enter","hineingehen, betreten"
"to express","ausdrücken"
"to include","einschließen"
"to let","lassen, vermieten"
"to pass","vorbeigehen an, bestehen"
"to receive","erhalten, empfangen"
"to rise","ansteigen"
"to serve","dienen, bedienen"
"treatment","die Behandlung"
"vowel","der Vokal"
"affair","die Angelegenheit, die Affäre"
"aspect","der Aspekt"
"
  certain","sicher"
"college","die Fachhochschule, die Berufsschule"
"crisis","die Krise"
"entrance","der Eingang"
"fact","die Tatsache"
"
  general","allgemein"
"
  healthy","gesund"
"
  incorrect","falsch"
"library","die Bibliothek, die Bücherei"
"main","Haupt-"
"noise","der Lärm, das Geräusch"
"per cent","das Prozent"
"recently","kürzlich, neulich"
"role","die Rolle"
"several","mehrere, verschiedene"
"state","der Zustand, der Staat"
"to brake","bremsen"
"to develop","entwickeln"
"to draw","zeichnen"
"to fix","befestigen, reparieren"
"to join","beitreten, verbinden"
"to miss","vermissen, verpassen, fehlen"
"to promise","versprechen"
"to suggest","vorschlagen"
"trip","der Ausflug"
"walk","der Spaziergang"
"assistant","der Assistent"
"branch","der Ast, der Zweig"
"certainly","sicherlich, bestimmt"
"community","die Gemeinschaft"
"crowd","die Menschenmenge"
"development","die Entwicklung"
"equal","gleich"
"
  flat","die Wohnung, flach"
"
  glad","froh"
"heat","die Hitze, die Wärme"
"mobile phone","das Handy"
"note","die Notiz"
"plain","die Ebene, klar, einfach"
"record","die Aufzeichnung, die Schallplatte, der Rekord"
"row","die Reihe"
"statement","die Aussage"
"summary","die Zusammenfassung"
"to affect","wirken, einwirken"
"to dress","anziehen, sich anziehen"
"to fail","scheitern, durchfallen"
"to increase","erhöhen, zunehmen"
"to joke","Witze machen"
"to lie","lügen"
"to lie (irr.)","liegen"
"to protect","beschützen"
"to shine","scheinen, glänzen"
"to watch","ansehen, beobachten"
"twin","der Zwilling"
"author","der Autor"
"
  bright","hell"
"chance","die Gelegenheit, die Chance"
"company","die Firma, die Gesellschaft"
"customer","der Kunde"
"difficulty","die Schwierigkeit"
"each","jeder"
"especially","besonders"
"
  fair","gerecht, blond"
"floor","der Fußboden, die Etage"
"goal","das Tor, das Ziel"
"indeed","tatsächlich, in der Tat"
"joy","die Freude"
"lifestyle","der Lebensstil"
"management","die Führung, die Leitung, das Management"
"mouth","der Mund"
"politics","die Politik"
"
  regular","regelmäßig, üblich"
"shore","das Ufer"
"step","der Schritt, die Stufe"
"surprise","die Überraschung"
"to afford","sich leisten"
"to hide","verstecken"
"to notice","bemerken"
"to quit","verlassen, aufhören"
"to rule","herrschen, regieren"
"type","der Typ"
"watch","die Armbanduhr"
"agreement","die Übereinstimmung, die Zustimmung"
"automatic","automatisch"
"
  broad","breit"
"change","die Änderung, die Veränderung"
"data","die Daten"
"director","der Direktor, der Regisseur"
"even","sogar"
"fashion","die Mode"
"government","die Regierung"
"history","die Geschichte"
"
  individual","individuell"
"noun","das Substantiv"
"
  popular","beliebt"
"race","das Rennen, die Rasse"
"relationship","das Verhältnis, die Beziehung"
"sale","der Verkauf"
"sight","der Anblick, das Sehvermögen"
"stick","der Stock, der Stecken"
"syllable","die Silbe"
